id,tenure,monthlycharges,totalcharges,churn,internetservice,contract,paymentmethod,tenure_group,monthly_charge_segment,has_internet_service,is_multi_line_user,contract_type_code
1,1,29.85,29.85,No,DSL,Month-to-month,Electronic check,New,Low,1,0,0
2,34,56.95,1889.5,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
3,2,53.85,108.15,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
4,45,42.3,1840.75,No,DSL,One year,Bank transfer (automatic),Loyal,Medium,1,0,1
5,2,70.7,151.65,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
6,8,99.65,820.5,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
7,22,89.1,1949.4,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
8,10,29.75,301.9,No,DSL,Month-to-month,Mailed check,New,Low,1,0,0
9,28,104.8,3046.05,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
10,62,56.15,3487.95,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,0,1
11,13,49.95,587.45,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
12,16,18.95,326.8,No,No,Two year,Credit card (automatic),Regular,Low,0,0,2
13,58,100.35,5681.1,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
14,49,103.7,5036.3,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,1,0
15,25,105.5,2686.05,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
16,69,113.25,7895.15,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
17,52,20.65,1022.95,No,No,One year,Mailed check,Loyal,Low,0,0,1
18,71,106.7,7382.25,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
19,10,55.2,528.35,Yes,DSL,Month-to-month,Credit card (automatic),New,Medium,1,0,0
20,21,90.05,1862.9,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
21,1,39.65,39.65,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
22,12,19.8,202.25,No,No,One year,Bank transfer (automatic),New,Low,0,0,1
23,1,20.15,20.15,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
24,58,59.9,3505.1,No,DSL,Two year,Credit card (automatic),Loyal,Medium,1,1,2
25,49,59.6,2970.3,No,DSL,Month-to-month,Credit card (automatic),Loyal,Medium,1,0,0
26,30,55.3,1530.6,No,DSL,Month-to-month,Bank transfer (automatic),Regular,Medium,1,0,0
27,47,99.35,4749.15,Yes,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
28,1,30.2,30.2,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
29,72,90.25,6369.45,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
30,17,64.7,1093.1,Yes,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
31,71,96.35,6766.95,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
32,2,95.5,181.65,No,Fiber optic,Month-to-month,Credit card (automatic),New,High,1,0,0
33,27,66.15,1874.45,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
34,1,20.2,20.2,No,No,Month-to-month,Bank transfer (automatic),New,Low,0,0,0
35,1,45.25,45.25,No,DSL,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
36,72,99.9,7251.7,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
37,5,69.7,316.9,Yes,Fiber optic,Month-to-month,Electronic check,New,Medium,1,0,0
38,46,74.8,3548.3,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,High,1,0,0
39,34,106.35,3549.25,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
40,11,97.85,1105.4,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,1,0
41,10,49.55,475.7,No,DSL,One year,Mailed check,New,Medium,1,0,1
42,70,69.2,4872.35,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,1,2
43,17,20.75,418.25,No,No,One year,Mailed check,Regular,Low,0,0,1
44,63,79.85,4861.45,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
45,13,76.2,981.45,No,DSL,Month-to-month,Electronic check,Regular,High,1,1,0
46,49,84.5,3906.7,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
47,2,49.25,97.0,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
48,2,80.65,144.15,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
49,52,79.75,4217.8,No,DSL,Two year,Credit card (automatic),Loyal,High,1,1,2
50,69,64.15,4254.1,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,1,2
51,43,90.25,3838.75,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
52,15,99.1,1426.4,Yes,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
53,25,69.5,1752.65,No,DSL,Month-to-month,Credit card (automatic),Regular,Medium,1,1,0
54,8,80.65,633.3,Yes,Fiber optic,Month-to-month,Credit card (automatic),New,High,1,1,0
55,60,74.85,4456.35,No,DSL,One year,Credit card (automatic),Loyal,High,1,0,1
56,18,95.45,1752.55,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
57,63,99.65,6311.2,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,1,1
58,66,108.45,7076.35,No,Fiber optic,One year,Electronic check,Champion,High,1,1,1
59,34,24.95,894.3,No,No,Two year,Credit card (automatic),Regular,Low,0,1,2
60,72,107.5,7853.7,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
61,47,100.5,4707.1,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
62,60,89.9,5450.7,No,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,1,0
63,72,42.1,2962.0,No,DSL,Two year,Bank transfer (automatic),Champion,Medium,1,0,2
64,18,54.4,957.1,No,DSL,One year,Credit card (automatic),Regular,Medium,1,0,1
65,9,94.4,857.25,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
66,3,75.3,244.1,No,DSL,Month-to-month,Electronic check,New,High,1,0,0
67,47,78.9,3650.35,No,Fiber optic,One year,Electronic check,Loyal,High,1,1,1
68,31,79.2,2497.2,No,DSL,Two year,Mailed check,Regular,High,1,0,2
69,50,20.15,930.9,No,No,Two year,Bank transfer (automatic),Loyal,Low,0,0,2
70,10,79.85,887.35,No,Fiber optic,Month-to-month,Mailed check,New,High,1,0,0
71,1,49.05,49.05,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
72,52,20.4,1090.65,No,No,One year,Electronic check,Loyal,Low,0,0,1
73,64,111.6,7099.0,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
74,62,24.25,1424.6,No,No,Two year,Bank transfer (automatic),Champion,Low,0,1,2
75,3,64.5,177.4,No,DSL,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
76,56,110.5,6139.5,No,Fiber optic,One year,Electronic check,Loyal,High,1,1,1
77,46,55.65,2688.85,No,DSL,One year,Credit card (automatic),Loyal,Medium,1,0,1
78,8,54.65,482.25,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
79,30,74.75,2111.3,No,DSL,Month-to-month,Electronic check,Regular,High,1,0,0
80,45,25.9,1216.6,No,No,One year,Credit card (automatic),Loyal,Low,0,1,1
81,1,79.35,79.35,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
82,11,50.55,565.35,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
83,7,75.15,496.9,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
84,42,103.8,4327.5,No,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,0,0
85,49,20.15,973.35,No,No,Two year,Bank transfer (automatic),Loyal,Low,0,0,2
86,9,99.3,918.75,No,Fiber optic,Month-to-month,Credit card (automatic),New,High,1,1,0
87,35,62.15,2215.45,No,DSL,One year,Bank transfer (automatic),Regular,Medium,1,0,1
88,48,20.65,1057.0,No,No,Two year,Bank transfer (automatic),Loyal,Low,0,0,2
89,46,19.95,927.1,No,No,Two year,Mailed check,Loyal,Low,0,0,2
90,29,33.75,1009.25,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
91,30,82.05,2570.2,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,0,0
92,1,74.7,74.7,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
93,66,84.0,5714.25,No,DSL,Two year,Mailed check,Champion,High,1,1,2
94,65,111.05,7107.0,No,Fiber optic,Month-to-month,Credit card (automatic),Champion,High,1,1,0
95,72,100.9,7459.05,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
96,12,78.95,927.35,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
97,71,66.85,4748.7,No,DSL,One year,Credit card (automatic),Champion,Medium,1,1,1
98,5,21.05,113.85,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
99,52,21.0,1107.2,No,No,Two year,Bank transfer (automatic),Loyal,Low,0,0,2
100,25,98.5,2514.5,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
101,1,20.2,20.2,No,No,Month-to-month,Mailed check,New,Low,0,0,0
102,1,19.45,19.45,No,No,Month-to-month,Electronic check,New,Low,0,0,0
103,38,95.0,3605.6,No,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,1,1
104,66,45.55,3027.25,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,0,1
105,68,110.0,7611.85,Yes,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
106,5,24.3,100.2,No,DSL,Month-to-month,Mailed check,New,Low,1,0,0
107,72,104.15,7303.05,No,Fiber optic,One year,Electronic check,Champion,High,1,1,1
108,32,30.15,927.65,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
109,43,94.35,3921.3,No,Fiber optic,One year,Mailed check,Loyal,High,1,1,1
110,72,19.4,1363.25,No,No,Two year,Credit card (automatic),Champion,Low,0,0,2
111,55,96.75,5238.9,Yes,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
112,52,57.95,3042.25,No,DSL,One year,Credit card (automatic),Loyal,Medium,1,0,1
113,43,91.65,3954.1,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,0,0
114,37,76.5,2868.15,Yes,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
115,64,54.6,3423.5,No,DSL,Two year,Electronic check,Champion,Medium,1,0,2
116,3,89.85,248.4,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
117,36,31.05,1126.35,No,DSL,Two year,Bank transfer (automatic),Regular,Medium,1,0,2
118,10,100.25,1064.65,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
119,41,20.65,835.15,No,No,Two year,Mailed check,Loyal,Low,0,0,2
120,27,85.2,2151.6,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
121,56,99.8,5515.45,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
122,6,20.7,112.75,No,No,Month-to-month,Mailed check,New,Low,0,0,0
123,3,74.4,229.55,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
124,7,50.7,350.35,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
125,4,20.85,62.9,No,No,Month-to-month,Mailed check,New,Low,0,0,0
126,33,88.95,3027.65,No,Fiber optic,Two year,Electronic check,Regular,High,1,0,2
127,27,78.05,2135.5,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
128,72,23.55,1723.95,No,No,Two year,Bank transfer (automatic),Champion,Low,0,1,2
129,1,19.75,19.75,No,No,Month-to-month,Mailed check,New,Low,0,0,0
130,71,56.45,3985.35,No,DSL,One year,Electronic check,Champion,Medium,1,0,1
131,13,85.95,1215.65,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
132,25,58.6,1502.65,Yes,DSL,Month-to-month,Credit card (automatic),Regular,Medium,1,0,0
133,67,50.55,3260.1,No,DSL,Two year,Bank transfer (automatic),Champion,Medium,1,0,2
134,1,35.45,35.45,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
135,2,44.35,81.25,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
136,43,25.7,1188.2,No,No,Two year,Credit card (automatic),Loyal,Low,0,1,2
137,23,75.0,1778.5,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,0,0
138,64,20.2,1277.75,No,No,Two year,Mailed check,Champion,Low,0,0,2
139,57,19.6,1170.55,No,No,Two year,Mailed check,Loyal,Low,0,0,2
140,1,70.45,70.45,Yes,Fiber optic,Month-to-month,Mailed check,New,High,1,0,0
141,72,88.05,6425.65,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
142,8,71.15,563.65,Yes,DSL,Month-to-month,Electronic check,New,High,1,1,0
143,61,101.05,5971.25,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
144,64,84.3,5289.05,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,1,1
145,71,23.95,1756.2,No,No,Two year,Bank transfer (automatic),Champion,Low,0,1,2
146,65,99.05,6416.7,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
147,3,19.6,61.35,No,No,One year,Mailed check,New,Low,0,0,1
148,1,45.65,45.65,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
149,30,64.5,1929.95,No,DSL,One year,Credit card (automatic),Regular,Medium,1,0,1
150,15,69.5,1071.4,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
151,8,68.55,564.35,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
152,7,95.0,655.5,Yes,Fiber optic,Month-to-month,Mailed check,New,High,1,1,0
153,70,108.15,7930.55,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,1,1
154,62,86.1,5215.25,No,DSL,Two year,Electronic check,Champion,High,1,0,2
155,6,19.7,113.5,No,No,Month-to-month,Mailed check,New,Low,0,0,0
156,14,80.9,1152.8,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,0,0
157,22,84.15,1821.95,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
158,22,20.15,419.9,No,No,One year,Mailed check,Regular,Low,0,0,1
159,16,64.25,1024.0,No,DSL,Two year,Mailed check,Regular,Medium,1,0,2
160,10,25.7,251.6,No,No,Two year,Bank transfer (automatic),New,Low,0,1,2
161,13,56.0,764.55,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
162,20,82.4,1592.35,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
163,2,69.7,135.2,No,Fiber optic,Month-to-month,Electronic check,New,Medium,1,0,0
164,53,73.9,3958.25,No,DSL,Two year,Bank transfer (automatic),Loyal,High,1,1,2
165,11,20.6,233.9,No,No,One year,Mailed check,New,Low,0,0,1
166,69,19.9,1363.45,No,No,Two year,Mailed check,Champion,Low,0,0,2
167,4,70.9,273.0,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
168,72,89.05,6254.45,No,DSL,Two year,Bank transfer (automatic),Champion,High,1,1,2
169,58,45.3,2651.2,Yes,DSL,Month-to-month,Electronic check,Loyal,Medium,1,0,0
170,16,20.4,321.4,No,No,Month-to-month,Electronic check,Regular,Low,0,0,0
171,43,84.25,3539.25,No,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,0,1
172,2,104.4,242.8,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
173,14,81.95,1181.75,No,DSL,Two year,Mailed check,Regular,High,1,0,2
174,53,94.85,5000.2,Yes,Fiber optic,One year,Bank transfer (automatic),Loyal,High,1,0,1
175,32,20.55,654.55,No,No,One year,Bank transfer (automatic),Regular,Low,0,0,1
176,34,24.7,780.2,No,No,Month-to-month,Electronic check,Regular,Low,0,1,0
177,15,74.45,1145.7,Yes,Fiber optic,Month-to-month,Mailed check,Regular,High,1,1,0
178,7,76.45,503.6,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
179,15,105.35,1559.25,No,Fiber optic,Month-to-month,Bank transfer (automatic),Regular,High,1,1,0
180,61,20.55,1252.0,No,No,One year,Credit card (automatic),Champion,Low,0,0,1
181,1,29.95,29.95,Yes,DSL,Month-to-month,Bank transfer (automatic),New,Low,1,0,0
182,1,45.3,45.3,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
183,8,84.5,662.65,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,1,0
184,33,74.75,2453.3,No,DSL,One year,Credit card (automatic),Regular,High,1,0,1
185,13,79.25,1111.65,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
186,1,24.8,24.8,Yes,DSL,Month-to-month,Electronic check,New,Low,1,0,0
187,20,51.8,1023.85,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
188,3,30.4,82.15,No,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
189,13,19.65,244.8,No,No,One year,Electronic check,Regular,Low,0,0,1
190,40,56.6,2379.1,No,DSL,Month-to-month,Credit card (automatic),Loyal,Medium,1,1,0
191,43,71.9,3173.35,No,DSL,One year,Credit card (automatic),Loyal,High,1,1,1
192,6,91.0,531.0,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
193,69,19.75,1375.4,No,No,Two year,Bank transfer (automatic),Champion,Low,0,0,2
194,72,109.7,8129.3,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
195,59,19.3,1192.7,No,No,Two year,Credit card (automatic),Loyal,Low,0,0,2
196,20,96.55,1901.65,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
197,24,24.1,587.4,No,No,Two year,Bank transfer (automatic),Regular,Low,0,1,2
198,59,111.35,6519.75,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
199,72,112.25,8041.65,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
200,1,20.75,20.75,No,No,Month-to-month,Mailed check,New,Low,0,0,0
201,27,101.9,2681.15,No,Fiber optic,One year,Credit card (automatic),Regular,High,1,0,1
202,14,80.05,1112.3,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
203,71,105.55,7405.5,No,Fiber optic,Two year,Electronic check,Champion,High,1,1,2
204,13,78.3,1033.95,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
205,44,68.85,2958.95,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,Medium,1,0,0
206,33,79.95,2684.85,No,Fiber optic,One year,Bank transfer (automatic),Regular,High,1,0,1
207,72,55.45,4179.2,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,0,2
208,1,79.9,79.9,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
209,19,106.6,1934.45,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
210,64,102.45,6654.1,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,0,1
211,2,46.0,84.5,Yes,DSL,Month-to-month,Credit card (automatic),New,Medium,1,0,0
212,1,25.25,25.25,No,DSL,Month-to-month,Electronic check,New,Low,1,0,0
213,61,19.75,1124.2,No,No,Two year,Mailed check,Champion,Low,0,0,2
214,29,20.0,540.05,No,No,One year,Electronic check,Regular,Low,0,0,1
215,23,86.8,1975.85,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
216,57,58.75,3437.45,No,DSL,Month-to-month,Bank transfer (automatic),Loyal,Medium,1,0,0
217,72,45.25,3139.8,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,0,2
218,66,56.6,3789.2,No,DSL,Two year,Bank transfer (automatic),Champion,Medium,1,0,2
219,65,84.2,5324.5,No,DSL,Two year,Bank transfer (automatic),Champion,High,1,1,2
220,8,80.0,624.6,No,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,0,0
221,4,70.15,268.35,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
222,71,24.75,1836.9,No,No,Two year,Bank transfer (automatic),Champion,Low,0,1,2
223,1,20.2,20.2,No,No,One year,Electronic check,New,Low,0,0,1
224,4,50.05,179.35,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
225,12,19.35,219.35,No,No,One year,Bank transfer (automatic),New,Low,0,0,1
226,24,50.6,1288.75,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
227,31,81.15,2545.75,No,DSL,One year,Mailed check,Regular,High,1,0,1
228,1,55.2,55.2,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
229,30,89.9,2723.15,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
230,47,85.3,4107.25,No,DSL,Two year,Credit card (automatic),Loyal,High,1,1,2
231,54,108.0,5760.65,No,Fiber optic,Two year,Credit card (automatic),Loyal,High,1,1,2
232,50,93.5,4747.5,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,High,1,0,0
233,1,84.6,84.6,Yes,Fiber optic,Month-to-month,Mailed check,New,High,1,0,0
234,72,20.25,1566.9,No,No,Two year,Credit card (automatic),Champion,Low,0,0,2
235,29,25.15,702.0,No,No,Month-to-month,Electronic check,Regular,Low,0,1,0
236,2,54.4,114.1,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,1,0
237,10,29.6,299.05,No,DSL,Two year,Mailed check,New,Low,1,0,2
238,18,73.15,1305.95,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
239,11,95.0,1120.3,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
240,16,19.75,284.35,No,No,Two year,Mailed check,Regular,Low,0,0,2
241,72,86.6,6350.5,No,DSL,Two year,Bank transfer (automatic),Champion,High,1,1,2
242,72,109.2,7878.3,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
243,41,74.7,3187.65,No,DSL,One year,Credit card (automatic),Loyal,High,1,0,1
244,65,94.4,6126.15,No,Fiber optic,Month-to-month,Electronic check,Champion,High,1,0,0
245,13,54.8,731.3,No,DSL,Month-to-month,Electronic check,Regular,Medium,1,0,0
246,4,75.35,273.4,No,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
247,41,65.0,2531.8,No,DSL,One year,Mailed check,Loyal,Medium,1,1,1
248,15,74.4,1074.3,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
249,1,48.55,48.55,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
250,42,99.0,4298.45,No,Fiber optic,One year,Electronic check,Loyal,High,1,1,1
